date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2017-07-11,0.99949988,,0.66058459,51.9,51.87,息,exright
2018-07-04,0.95609982,,0.66091512,54.1,51.72,息,exright
2019-07-09,0.95720721,,0.69126164,55.5,53.12,息,exright
2020-07-02,0.95796460,,0.72216510,56.5,54.12,息,exright
2021-08-09,0.95560748,,0.75385363,53.5,51.12,息,exright
2022-07-05,0.95560748,,0.78887373,53.5,51.12,息,exright
2023-07-05,0.95379377,,0.82552068,51.4,49.02,息,exright
2024-07-02,0.95500623,,0.86551275,52.8,50.42,息,exright
2025-07-08,0.95166171,,0.90629016,50.4,47.96,息,exright
2026-07-01,0.95232387,,0.95232387,51.1,48.66,息,exright
