date,factor,cum_factor,pre_close,ref_price,kind,event
2015-10-22,1.29481641,0.93476883,9.26,11.99,彌補虧損,reduce
2016-08-25,0.97938144,0.72193156,14.55,14.25,除息,exright
2017-08-03,0.97250859,0.73713012,29.1,28.3,除息,exright
2018-08-09,0.94005602,0.75796772,17.85,16.78,除權息,exright
2019-08-01,0.97359736,0.80630058,15.15,14.75,除息,exright
2020-08-20,0.98992443,0.82816636,19.85,19.65,除息,exright
2021-08-26,0.96913580,0.83659553,16.2,15.7,除息,exright
2022-10-18,0.96819572,0.86323870,16.35,15.83,除息,exright
2023-08-10,0.96371882,0.89159525,22.05,21.25,除息,exright
2024-08-14,0.97031540,0.92516119,26.95,26.15,除息,exright
2025-08-14,0.96023857,0.95346440,25.15,24.15,除息,exright
2026-07-14,0.99294533,0.99294533,28.35,28.15,除息,exright
