date,factor,cum_factor,pre_close,ref_price,kind
2015-08-10,0.93574661,0.50160975,33.15,31.02,權息
2016-08-24,0.94968815,0.53605297,48.1,45.68,權息
2017-08-10,0.93954451,0.56445157,48.3,45.38,息
2018-08-10,0.92672522,0.60077151,39.85,36.93,息
2019-07-22,0.93800425,0.64827362,47.1,44.18,息
2020-06-23,0.93973635,0.69112013,53.1,49.9,息
2021-06-29,0.94662480,0.73544046,63.7,60.3,息
2021-08-16,0.96737357,0.77690808,61.3,59.3,息
2022-03-18,0.96478873,0.80311071,71,68.5,息
2022-08-16,0.97803807,0.83242132,68.3,66.8,息
2023-03-16,0.95951417,0.85111342,74.1,71.1,息
2023-08-16,0.98606272,0.88702538,143.5,141.5,息
2024-03-27,0.97917012,0.89956284,120.5,117.99,息
2024-08-19,0.98148148,0.91869923,108,106,息
2025-03-20,0.97620853,0.93603317,105.5,102.99,息
2025-08-19,0.98507463,0.95884552,134,132,息
2026-03-19,0.98235294,0.97337348,170,167,息
2026-08-19,0.99085923,0.99085923,273.5,271,息
