date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2017-07-03,0.97324118,,0.66856800,63.8,62.09,息,exright
2018-06-26,0.96250000,,0.68694998,65.6,63.14,息,exright
2019-08-21,0.96267071,,0.71371426,65.9,63.44,息,exright
2020-07-01,0.96244275,,0.74138981,65.5,63.04,息,exright
2021-07-26,0.96095238,,0.77032095,63,60.54,息,exright
2021-09-06,0.98926580,,0.80162240,61.9,61.23,權,exright
2022-07-27,0.96113744,,0.81032054,63.3,60.84,息,exright
2023-07-20,0.96045016,,0.84308498,62.2,59.74,息,exright
2024-07-19,0.95829251,,0.87780191,63.8,61.13,息,exright
2025-07-01,0.95738372,,0.91600623,64.5,61.75,息,exright
2026-07-01,0.95678066,,0.95678066,63.6,60.85,息,exright
