date,factor,cum_factor,pre_close,ref_price,kind
2015-07-07,0.96764253,0.59303432,64.9,62.8,息
2016-07-26,0.96363636,0.61286509,71.5,68.9,息
2017-07-13,0.95735964,0.63599207,65.9,63.09,息
2018-07-12,0.95500000,0.66431887,60,57.3,息
2019-06-26,0.95238095,0.69562186,56.7,54,息
2020-07-01,0.95652174,0.73040295,46,44,息
2021-06-01,0.96485062,0.76360308,56.9,54.9,息
2022-06-02,0.95387841,0.79142104,47.7,45.5,息
2023-06-01,0.96055227,0.82968756,50.7,48.7,息
2024-05-31,0.95967742,0.86376097,62,59.5,息
2025-06-03,0.94606257,0.90005345,46.35,43.85,息
2026-05-28,0.95136778,0.95136778,32.9,31.3,息
