date,factor,cum_factor,pre_close,ref_price,kind
2015-07-23,0.93130545,0.55536737,39.45,36.74,權息
2016-07-28,0.92893401,0.59633213,39.4,36.6,權息
2017-06-26,0.94218134,0.64195317,38.05,35.85,息
2018-07-10,0.94333333,0.68134779,30,28.3,息
2019-07-03,0.97971602,0.72227681,24.65,24.15,息
2020-08-27,0.96338673,0.73723078,21.85,21.05,息
2021-08-26,0.97695853,0.76524905,21.7,21.2,息
2022-07-07,0.97474747,0.78329738,19.8,19.3,息
2023-07-03,0.96923077,0.80359006,26,25.2,息
2024-08-23,0.95405819,0.82910085,32.65,31.15,息
2025-07-10,0.92592593,0.86902545,36.45,33.75,息
2026-07-06,0.93854749,0.93854749,35.8,33.6,息
