date,factor,cum_factor,pre_close,ref_price,kind,event
2015-09-07,0.95198238,0.75957238,22.7,21.61,除息,exright
2016-09-08,0.96370236,0.79788491,27.55,26.55,除權息,exright
2017-09-06,0.97155425,0.82793708,34.1,33.13,除權息,exright
2018-08-24,0.96278119,0.85217791,24.45,23.54,除權息,exright
2019-09-10,0.97625000,0.88512107,24,23.43,除權息,exright
2020-09-25,0.97739464,0.90665410,26.1,25.51,除權息,exright
2021-10-27,0.98627002,0.92762337,21.85,21.55,除權息,exright
2022-10-07,0.99670330,0.94053692,27.3,27.21,除息,exright
2023-09-14,0.98328109,0.94364785,47.85,47.05,除息,exright
2024-09-04,0.98579882,0.95969287,42.25,41.65,除息,exright
2025-09-04,0.98119859,0.97351797,42.55,41.75,除息,exright
2026-08-25,0.99217221,0.99217221,51.1,50.7,除息,exright
