date,factor,cum_factor,pre_close,ref_price,kind,event
2017-07-17,0.94535519,0.55616801,18.3,17.3,除息,exright
2018-08-07,0.87315175,0.58831644,38.55,33.66,除權息,exright
2019-07-22,0.93267882,0.67378488,35.65,33.25,除息,exright
2020-07-15,0.94768089,0.72241897,26.95,25.54,除息,exright
2021-08-09,0.96446701,0.76230193,39.4,38,除息,exright
2022-07-11,0.95000000,0.79038674,36,34.2,除息,exright
2023-07-18,0.94922426,0.83198604,35.45,33.65,除息,exright
2024-08-01,0.95750708,0.87649050,35.3,33.8,除息,exright
2025-06-26,0.95601173,0.91538800,34.1,32.6,除息,exright
2026-07-02,0.95750708,0.95750708,35.3,33.8,除息,exright
