date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2008-09-18,0.89447853,,0.51011346,8.15,7.29,除息,exright
2009-07-21,0.93693694,,0.57029146,8.88,8.32,除權息,exright
2011-07-25,0.95444015,,0.60867646,12.95,12.36,除權息,exright
2011-11-18,0.95923077,,0.63773141,13,12.47,除權,exright
2012-08-08,0.95172414,,0.66483627,10.15,9.66,除權息,exright
2022-09-01,0.90913978,,0.69855985,18.6,16.91,除權,exright
2023-08-31,0.90887290,,0.76837452,20.85,18.95,除權,exright
2024-09-02,0.93006757,,0.84541471,29.6,27.53,除權,exright
2025-09-01,0.90898204,,0.90898204,41.75,37.95,除權,exright
