date,factor,cum_factor,pre_close,ref_price,kind
2019-05-23,0.99407302,0.76461565,42.18,41.93,息
2019-08-22,0.99703453,0.76917453,47.21,47.07,息
2019-11-22,0.99715037,0.77146228,45.62,45.49,息
2020-02-24,0.99058577,0.77366694,47.8,47.35,息
2020-05-21,0.99241071,0.78101964,44.8,44.46,息
2020-08-20,0.99275053,0.78699235,46.9,46.56,息
2020-11-19,0.99272807,0.79273928,45.38,45.05,息
2021-03-02,0.99264165,0.79854625,40.77,40.47,息
2021-05-20,0.99335466,0.80446579,40.63,40.36,息
2021-08-19,0.99258057,0.80984750,43.13,42.81,息
2021-11-18,0.99281609,0.81590102,41.76,41.46,息
2022-02-24,0.99193129,0.82180479,38.42,38.11,息
2022-05-20,0.99393064,0.82848964,34.6,34.39,息
2022-08-18,0.99113328,0.83354875,36.09,35.77,息
2022-11-18,0.99099099,0.84100571,33.3,33,息
2023-02-20,0.98824947,0.84865122,33.19,32.8,息
2023-05-19,0.99042203,0.85874189,33.41,33.09,息
2023-08-18,0.99091460,0.86704644,33.02,32.72,息
2023-11-20,0.98931298,0.87499613,32.75,32.4,息
2024-03-01,0.99558174,0.88444825,33.95,33.8,息
2024-05-21,0.99069226,0.88837331,34.38,34.06,息
2024-08-20,0.98796530,0.89671975,35.73,35.3,息
2024-11-20,0.98344948,0.90764296,34.44,33.87,息
2025-02-20,0.98786264,0.92291773,33.78,33.37,息
2025-05-21,0.98745461,0.93425715,30.29,29.91,息
2025-08-20,0.98872059,0.94612668,31.03,30.68,息
2025-11-20,0.98864682,0.95692017,32.59,32.22,息
2026-02-25,0.98952409,0.96790901,33.41,33.06,息
2026-05-18,0.98916073,0.97815608,32.29,31.94,息
2026-08-17,0.98887476,0.98887476,31.46,31.11,息
