date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-16,0.91714836,0.57487265,51.9,47.6,除息,exright
2016-07-14,0.94800693,0.62680442,28.85,27.35,除息,exright
2017-07-19,0.95811518,0.66118126,38.2,36.6,除息,exright
2018-02-09,0.99666667,0.69008536,48,47.84,除權,exright
2018-07-20,0.93698630,0.69239334,36.5,34.2,除息,exright
2019-07-24,0.95721925,0.73895780,28.05,26.85,除息,exright
2020-07-22,0.98293515,0.77198385,29.3,28.8,除息,exright
2021-07-28,0.95681063,0.78538635,30.1,28.8,除息,exright
2022-07-18,0.93925729,0.82083781,37.7,35.41,除息,exright
2023-08-01,0.96539634,0.87392221,65.6,63.33,除息,exright
2024-08-01,0.96653005,0.90524707,73.2,70.75,除息,exright
2025-08-01,0.97032520,0.93659485,98.4,95.48,除息,exright
2026-08-03,0.96523810,0.96523810,105,101.35,除息,exright
