date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-16,0.95530726,0.67177261,17.9,17.1,除息,exright
2016-07-14,0.96577017,0.70320057,20.45,19.75,除息,exright
2017-07-14,0.96818182,0.72812414,22,21.3,除息,exright
2018-07-12,0.96650718,0.75205310,20.9,20.2,除息,exright
2019-07-19,0.95820896,0.77811434,16.75,16.05,除息,exright
2020-07-17,0.99363636,0.81205080,22,21.86,除息,exright
2021-09-13,0.99441341,0.81725149,26.85,26.7,除息,exright
2021-10-29,0.91507353,0.82184279,27.2,24.89,除權,exright
2022-06-30,0.98066038,0.89811667,21.2,20.79,除息,exright
2023-07-13,0.97964072,0.91582844,33.4,32.72,息,exright
2024-07-11,0.99276860,0.93486155,48.4,48.05,息,exright
2025-07-10,0.97830018,0.94167116,27.65,27.05,息,exright
2026-07-15,0.96255850,0.96255850,32.05,30.85,息,exright
