date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-02,0.96341463,0.77523861,8.2,7.9,息,exright
2016-07-14,0.96960486,0.80467805,6.58,6.38,息,exright
2017-07-18,0.96946565,0.82990307,6.55,6.35,息,exright
2018-07-19,0.95822454,0.85604175,7.66,7.34,息,exright
2019-07-18,0.97167139,0.89336237,7.06,6.86,息,exright
2020-07-13,0.97226075,0.91940792,7.21,7.01,息,exright
2021-07-19,0.98498498,0.94563924,16.65,16.4,息,exright
2022-07-12,0.96776119,0.96005447,16.75,16.21,息,exright
2023-06-14,0.98202247,0.99203655,17.8,17.48,息,exright
2024-04-08,0.98714653,1.01019740,19.45,19.2,息,exright
2025-04-07,0.98875306,1.02335101,20.45,20.22,息,exright
2026-01-12,1.04699140,1.03499150,17.45,18.27,退還股款,reduce
2026-03-31,0.98853868,0.98853868,17.45,17.25,息,exright
