date,factor,cum_factor,pre_close,ref_price,kind,event
2015-08-24,0.88750000,0.54249139,40,35.5,除息,exright
2016-08-18,0.95302013,0.61125791,74.5,71,除息,exright
2017-08-18,0.90296296,0.64139034,67.5,60.95,除權息,exright
2018-09-06,0.93773913,0.71031744,115,107.84,除權息,exright
2019-08-26,0.96031746,0.75747872,126,121,除息,exright
2020-09-08,0.95513514,0.78877950,92.5,88.35,除息,exright
2021-08-31,0.99185336,0.82583026,245.5,243.5,除息,exright
2022-07-06,0.93220339,0.83261326,118,110,除息,exright
2023-07-21,0.96039604,0.89316695,101,97,除息,exright
2024-08-01,0.97727273,0.92999858,88,86,除息,exright
2025-07-29,0.97010463,0.95162645,66.9,64.9,除息,exright
2026-07-29,0.98095238,0.98095238,52.5,51.5,除息,exright
