date,factor,cum_factor,pre_close,ref_price,kind,event
2018-08-02,0.97214485,0.72117302,35.9,34.9,除息,exright
2019-07-19,0.95297806,0.74183701,31.9,30.4,除息,exright
2020-07-29,0.94953846,0.77844080,32.5,30.86,除息,exright
2021-08-25,0.95530726,0.81980966,26.85,25.65,除息,exright
2022-08-15,0.95721925,0.85816333,28.05,26.85,除息,exright
2022-12-02,0.97932331,0.89651700,26.6,26.05,除權,exright
2023-08-18,0.97004831,0.91544538,31.05,30.12,除息,exright
2024-07-16,0.99582463,0.94371112,23.95,23.85,除息,exright
2025-07-09,0.98181818,0.94766798,22,21.6,除息,exright
2026-08-11,0.96521739,0.96521739,28.75,27.75,除息,exright
