date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-15,0.95519713,0.66517824,27.9,26.65,除息,exright
2016-07-21,0.96376812,0.69637797,27.6,26.6,除息,exright
2018-07-13,0.98642534,0.72255759,22.1,21.8,除息,exright
2019-07-08,0.97933884,0.73250104,24.2,23.7,除息,exright
2020-07-06,0.97350993,0.74795465,30.2,29.4,除息,exright
2021-08-23,0.93333333,0.76830716,33,30.8,除息,exright
2022-07-22,0.96239782,0.82318624,36.7,35.32,除息,exright
2023-07-21,0.96851064,0.85534924,70.5,68.28,除息,exright
2024-07-25,0.96559633,0.88315936,43.6,42.1,除息,exright
2026-01-05,0.91462585,0.91462585,29.4,26.89,除權,exright
