date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-09,0.87899807,0.52278306,25.95,22.81,除權息,exright
2016-06-07,0.89209932,0.59474881,22.15,19.76,除權息,exright
2017-08-09,0.90715835,0.66668452,23.05,20.91,除權息,exright
2018-07-25,0.93056380,0.73491526,16.85,15.68,除權息,exright
2019-06-13,0.94652778,0.78975269,14.4,13.63,除權息,exright
2019-06-27,0.97216117,0.83436821,13.65,13.27,除權,exright
2020-07-07,0.97167139,0.85826120,17.65,17.15,除息,exright
2021-06-16,0.98484848,0.88328339,13.2,13,除息,exright
2022-06-14,0.98418972,0.89687237,12.65,12.45,除息,exright
2023-06-13,0.98731501,0.91127996,23.65,23.35,除息,exright
2024-06-05,0.96809816,0.92298805,16.3,15.78,除息,exright
2025-07-03,0.98032787,0.95340337,15.25,14.95,除息,exright
2026-07-02,0.97253521,0.97253521,14.2,13.81,除息,exright
