date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2024-06-18,0.99367489,,0.88403722,15.81,15.71,除息,exright
2024-07-16,0.99556962,,0.88966445,15.8,15.73,除息,exright
2024-08-16,0.99564947,,0.89362354,16.09,16.02,除息,exright
2024-09-18,0.99571341,,0.89752826,16.33,16.26,除息,exright
2024-10-21,0.99557242,,0.90139216,15.81,15.74,除息,exright
2024-11-15,0.99544567,,0.90540089,15.37,15.3,除息,exright
2024-12-16,0.99550417,,0.90954325,15.57,15.5,除息,exright
2025-01-16,0.99527984,,0.91365086,14.83,14.76,除息,exright
2025-02-18,0.99539776,,0.91798389,15.21,15.14,除息,exright
2025-03-17,0.99540984,,0.92222821,15.25,15.18,除息,exright
2025-04-17,0.99520876,,0.92648091,14.61,14.54,除息,exright
2025-05-16,0.99478001,,0.93094127,13.41,13.34,除息,exright
2025-06-16,0.99558174,,0.93582627,13.58,13.52,除息,exright
2025-07-15,0.99546142,,0.93997934,13.22,13.16,除息,exright
2025-08-15,0.99569892,,0.94426496,13.95,13.89,除息,exright
2025-09-15,0.99585062,,0.94834386,14.46,14.4,除息,exright
2025-10-17,0.99659401,,0.95229529,14.68,14.63,除息,exright
2025-11-17,0.99586207,,0.95554989,14.5,14.44,除息,exright
2025-12-15,0.99587629,,0.95952032,14.55,14.49,除息,exright
2026-01-16,0.99661934,,0.96349349,14.79,14.74,除息,exright
2026-02-25,0.99592391,,0.96676178,14.72,14.66,除息,exright
2026-03-16,0.99581590,,0.97071852,14.34,14.28,除息,exright
2026-04-17,0.99586777,,0.97479717,14.52,14.46,除息,exright
2026-05-18,0.99578059,,0.97884197,14.22,14.16,除息,exright
2026-06-15,0.99585062,,0.98298960,14.46,14.4,除息,exright
2026-07-15,0.99577762,,0.98708539,14.21,14.15,除息,exright
2026-08-17,0.99568966,,0.99127091,13.92,13.86,除息,exright
2026-09-15,0.99556213,,0.99556213,13.52,13.46,除息,exright
