date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2019-03-26,0.98395038,,0.75109534,9.15,9,息,exright
2019-09-25,0.98309189,,0.76334676,9,8.84,息,exright
2020-03-19,0.98405882,,0.77647550,9.47,9.31,息,exright
2020-09-16,0.98465801,,0.78905395,9.86,9.7,息,exright
2021-03-18,0.98545716,,0.80134822,9.64,9.49,息,exright
2021-09-16,0.98329835,,0.81317409,9.08,8.92,息,exright
2022-03-17,0.98497547,,0.82698612,9.13,8.99,息,exright
2022-09-15,0.98293249,,0.83960073,9.05,8.89,息,exright
2023-03-16,0.98217928,,0.85417945,8.64,8.48,息,exright
2023-09-14,0.98181774,,0.86967773,8.4,8.24,息,exright
2024-03-14,0.98339360,,0.88578328,8.13,7.99,息,exright
2024-09-12,0.98150052,,0.90074134,7.66,7.51,息,exright
2025-03-13,0.98027486,,0.91771866,7,6.86,息,exright
2025-09-15,0.97952082,,0.93618504,7.11,6.96,息,exright
2026-03-13,0.97826978,,0.95575819,5.99,5.85,息,exright
2026-09-15,0.97698836,,0.97698836,5.67,5.53,息,exright
