date,factor,cum_factor,pre_close,ref_price,kind
2015-07-14,0.92907801,0.44656477,141,131,息
2016-07-12,0.92885375,0.48065368,126.5,117.5,息
2017-07-11,0.94308943,0.51746971,123,116,息
2018-07-12,0.94873646,0.54869633,138.5,131.4,息
2019-07-12,0.95191257,0.57834430,183,174.2,息
2020-07-13,0.96322242,0.60756032,285.5,275,息
2021-08-17,0.96916996,0.63075807,506,490.4,息
2022-07-12,0.82861897,0.65082297,300.5,249,息
2023-07-11,0.91405343,0.78543093,430.5,393.5,息
2024-07-10,0.94701987,0.85928340,604,572,息
2025-07-09,0.94756554,0.90735520,534,506,息
2026-07-10,0.95756458,0.95756458,542,519,息
