date,factor,cum_factor,pre_close,ref_price,kind
2017-07-12,0.99452055,0.87306148,18.25,18.15,息
2018-07-23,0.98217469,0.87787174,28.05,27.55,息
2019-07-19,0.97474747,0.89380408,19.8,19.3,息
2020-07-09,0.98627002,0.91695962,21.85,21.55,息
2021-08-09,0.98307475,0.92972472,35.45,34.85,息
2022-07-18,0.97073171,0.94573146,30.75,29.85,息
2023-07-13,0.98392283,0.97424598,31.1,30.6,息
2024-07-11,0.99740260,0.99016503,115.5,115.2,息
2025-07-15,0.99506579,0.99274358,91.2,90.75,息
2026-07-09,0.99766628,0.99766628,85.7,85.5,息
