date,factor,cum_factor,pre_close,ref_price,kind
2015-07-29,0.89159892,0.37351090,36.9,32.9,息
2016-07-20,0.96795728,0.41892255,37.45,36.25,息
2017-07-26,0.89449004,0.43279034,42.65,38.15,息
2018-08-01,0.94633274,0.48384031,27.95,26.45,息
2019-08-08,0.94146341,0.51127927,30.75,28.95,息
2020-08-03,0.96800000,0.54306865,37.5,36.3,息
2021-08-23,0.89690722,0.56102134,43.65,39.15,息
2022-06-20,0.88268156,0.62550655,53.7,47.4,息
2023-06-26,0.89901207,0.70864349,45.55,40.95,息
2024-08-07,0.95740741,0.78824691,54,51.7,息
2025-06-17,0.88974855,0.82331399,51.7,46,權息
2026-07-08,0.92533333,0.92533333,37.5,34.7,息
