date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2019-01-22,0.99749687,,0.81117112,31.96,31.88,除息,exright
2019-04-23,0.99534017,,0.81320668,32.19,32.04,除息,exright
2019-07-19,0.99542822,,0.81701383,32.81,32.66,除息,exright
2019-10-23,0.99752399,,0.82076619,32.31,32.23,除息,exright
2020-01-31,0.99595268,,0.82280346,32.12,31.99,除息,exright
2020-04-23,0.99938329,,0.82614715,32.43,32.41,除息,exright
2020-07-16,0.99937206,,0.82665696,31.85,31.83,除息,exright
2020-10-21,0.99935484,,0.82717638,31,30.98,除息,exright
2021-01-19,0.99933841,,0.82771038,30.23,30.21,除息,exright
2021-04-20,0.99934319,,0.82825836,30.45,30.43,除息,exright
2021-07-16,0.99900464,,0.82880272,30.14,30.11,除息,exright
2021-10-19,0.99900100,,0.82962850,30.03,30,除息,exright
2022-01-18,0.99795152,,0.83045813,29.29,29.23,除息,exright
2022-04-20,0.99440421,,0.83216280,30.38,30.21,除息,exright
2022-07-19,0.99219766,,0.83684561,30.76,30.52,除息,exright
2022-10-19,0.98971642,,0.84342631,32.09,31.76,除息,exright
2023-01-31,0.98919804,,0.85218987,30.55,30.22,除息,exright
2023-04-21,0.98961713,,0.86149571,30.82,30.5,除息,exright
2023-07-18,0.98800648,,0.87053436,30.85,30.48,除息,exright
2023-10-19,0.98711502,,0.88110187,31.82,31.41,除息,exright
2024-01-17,0.98914085,,0.89260304,31.31,30.97,除息,exright
2024-04-18,0.98839762,,0.90240236,31.89,31.52,除息,exright
2024-07-16,0.98791073,,0.91299528,32.26,31.87,除息,exright
2024-10-17,0.98904881,,0.92416780,31.96,31.61,除息,exright
2025-01-17,0.98924401,,0.93440060,32.54,32.19,除息,exright
2025-04-23,0.98915065,,0.94456028,32.26,31.91,除息,exright
2025-07-21,0.98935440,,0.95492055,29.12,28.81,除息,exright
2025-10-23,0.99051358,,0.96519564,30.57,30.28,除息,exright
2026-01-22,0.99138756,,0.97443959,31.35,31.08,除息,exright
2026-04-23,0.99133504,,0.98290479,31.16,30.89,除息,exright
2026-07-21,0.99149606,,0.99149606,31.75,31.48,除息,exright
