date,factor,cum_factor,pre_close,ref_price,kind
2015-07-16,0.96253602,0.74325803,34.7,33.4,息
2016-07-06,0.96545769,0.77218723,28.95,27.95,息
2017-07-20,0.96819085,0.79981468,25.15,24.35,息
2018-07-03,0.98211091,0.82609196,27.95,27.45,息
2019-07-09,0.98267327,0.84113917,40.4,39.7,息
2020-07-09,0.99205448,0.85597034,88.1,87.4,息
2021-08-04,0.99161529,0.86282594,405.5,402.1,息
2022-06-29,0.96545769,0.87012166,289.5,279.5,息
2023-06-15,0.93867121,0.90125302,293.5,275.5,息
2024-07-16,0.97066667,0.96013707,187.5,182,息
2025-07-03,0.99122807,0.98915220,114,113,息
2026-06-25,0.99790576,0.99790576,955,953,息
