date,factor,cum_factor,pre_close,ref_price,kind
2015-07-16,0.91463415,0.52655947,20.5,18.75,息
2016-07-14,0.94455446,0.57570502,25.25,23.85,息
2017-07-13,0.94629630,0.60949902,27,25.55,息
2018-07-12,0.93209877,0.64408899,24.3,22.65,息
2019-07-11,0.94117647,0.69100937,25.5,24,息
2020-07-15,0.95306859,0.73419746,27.7,26.4,息
2021-07-15,0.93186004,0.77035112,27.15,25.3,息
2022-07-14,0.94166667,0.82668115,24,22.6,息
2023-07-12,0.96825397,0.87789148,47.25,45.75,息
2024-07-11,0.97368421,0.90667481,57,55.5,息
2025-07-10,0.96136364,0.93117953,44,42.3,息
2026-07-15,0.96860283,0.96860283,63.7,61.7,息
