date,factor,cum_factor,pre_close,ref_price,kind
2015-07-08,0.93934681,0.49145218,64.3,60.4,息
2016-06-23,0.93934426,0.52318502,61,57.3,息
2017-06-02,0.93553223,0.55696835,66.7,62.4,息
2018-06-20,0.94074074,0.59534918,67.5,63.5,息
2019-07-03,0.94020927,0.63285149,66.9,62.9,息
2020-07-01,0.94452150,0.67309642,72.1,68.1,息
2021-07-21,0.94138335,0.71263218,85.3,80.3,息
2022-07-04,0.94103774,0.75700529,84.8,79.8,息
2023-03-30,0.94305239,0.80443670,87.8,82.8,息
2024-03-22,0.94909502,0.85301380,88.4,83.9,息
2025-03-21,0.95061728,0.89876543,81,77,息
2026-03-25,0.94545455,0.94545455,60.5,57.2,息
