date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2025-12-16,0.99241706,,0.93144689,10.55,10.47,除息,exright
2026-01-19,0.99248826,,0.93856397,10.65,10.57,除息,exright
2026-02-26,0.99236641,,0.94566757,10.48,10.4,除息,exright
2026-03-17,0.99235182,,0.95294194,10.46,10.38,除息,exright
2026-04-20,0.99328859,,0.96028638,10.43,10.36,除息,exright
2026-05-19,0.99323017,,0.96677481,10.34,10.27,除息,exright
2026-06-16,0.99326923,,0.97336431,10.4,10.33,除息,exright
2026-07-16,0.99334601,,0.97996020,10.52,10.45,除息,exright
2026-08-18,0.99330144,,0.98652453,10.45,10.38,除息,exright
2026-09-16,0.99317739,,0.99317739,10.26,10.19,除息,exright
