date,factor,cum_factor,pre_close,ref_price,kind,event
2022-07-21,0.93494279,0.07951551,437,408.57,除權息,exright
2023-01-05,0.98738966,0.08504853,396.5,391.5,除息,exright
2023-07-10,0.98050193,0.08613471,518,507.9,除息,exright
2024-01-11,0.98019587,0.08784757,459.5,450.4,除息,exright
2024-07-15,0.97912844,0.08962247,436,426.9,除息,exright
2024-09-09,0.10000000,0.09153290,491,49.1,面額變更（股數推導）,parvalue
2025-01-06,0.98517298,0.91532903,60.7,59.8,除息,exright
2025-07-14,0.98876404,0.92910488,62.3,61.6,除息,exright
2026-01-12,0.98359240,0.93966289,57.9,56.95,除息,exright
2026-07-13,0.95533769,0.95533769,45.9,43.85,除息,exright
