date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2008-08-14,0.87222222,,0.26057770,37.8,32.97,除權息,exright
2009-08-13,0.90865385,,0.29875150,31.2,28.35,除權息,exright
2010-08-25,0.92149254,,0.32878472,33.5,30.87,除權息,exright
2011-08-17,0.93197279,,0.35679586,22.05,20.55,除息,exright
2012-08-15,0.94833948,,0.38283935,27.1,25.7,除息,exright
2013-08-15,0.92253521,,0.40369441,35.5,32.75,除權息,exright
2014-08-14,0.92836735,,0.43759242,49,45.49,除權息,exright
2015-08-12,0.91029252,,0.47135697,46.15,42.01,除權息,exright
2016-08-11,0.92578125,,0.51780824,51.2,47.4,除息,exright
2017-08-10,0.93321918,,0.55932029,58.4,54.5,除息,exright
2018-08-09,0.93174603,,0.59934504,63,58.7,除息,exright
2019-08-08,0.93553223,,0.64324936,66.7,62.4,除息,exright
2020-08-06,0.93543759,,0.68757584,69.7,65.2,除息,exright
2021-08-05,0.94100295,,0.73503123,67.8,63.8,除息,exright
2022-07-28,0.94005102,,0.78111469,78.4,73.7,除息,exright
2023-07-27,0.95477032,,0.83092798,141.5,135.1,除息,exright
2024-07-02,0.95854342,,0.87029096,178.5,171.1,除息,exright
2025-06-10,0.94870130,,0.90793066,154,146.1,除息,exright
2026-06-05,0.95702479,,0.95702479,181.5,173.7,除息,exright
