date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2017-09-06,0.96254682,,0.63012959,114,109.73,息,exright
2018-06-12,0.94892473,,0.65464825,93,88.25,息,exright
2019-07-02,0.95176471,,0.68988427,85,80.9,息,exright
2020-06-12,0.95280236,,0.72484750,67.8,64.6,息,exright
2021-07-26,0.95726496,,0.76075326,70.2,67.2,息,exright
2022-06-24,0.96098843,,0.79471546,79.4,76.3,息,exright
2023-06-29,0.96181894,,0.82697714,122,117.34,息,exright
2024-08-28,0.91698575,,0.85980542,173,158.63,權息,exright
2025-06-26,0.95944882,,0.93764316,127,121.85,息,exright
2026-06-17,0.97727273,,0.97727273,165,161.25,息,exright
