date,factor,factor_official,cum_factor,pre_close,ref_price,kind,event
2016-07-19,0.97569866,,0.16454687,82.3,80.3,除息,exright
2016-08-30,0.95234568,,0.16864517,81,77.14,除權,exright
2017-08-31,0.85789474,,0.17708399,96.9,83.13,除權息,exright
2018-06-29,0.97394286,,0.20641692,87.5,85.22,除權,exright
2018-09-06,0.89842615,,0.21193946,82.6,74.21,除權息,exright
2019-07-24,0.98580786,,0.23590081,91.6,90.3,除息,exright
2019-08-26,0.88557047,,0.23929694,89.4,79.17,除權,exright
2020-07-16,0.98932462,,0.27021785,91.8,90.82,除息,exright
2020-09-09,0.85013453,,0.27313365,111.5,94.79,除權,exright
2021-07-22,0.99547945,,0.32128286,219,218.01,除息,exright
2021-08-30,0.77096367,,0.32274183,316.5,244.01,除權,exright
2022-06-29,0.99150413,,0.41862132,302.5,299.93,除息,exright
2022-08-02,0.79554859,,0.42220835,319,253.78,除權,exright
2023-07-05,0.98802548,,0.53071346,392.5,387.8,除息,exright
2023-08-11,0.81428571,,0.53714553,427,347.7,除權,exright
2024-07-09,0.98512397,,0.65965240,242,238.4,除息,exright
2024-08-12,0.85481982,,0.66961359,222,189.77,除權,exright
2025-07-01,0.97807309,,0.78333887,150.5,147.2,除息,exright
2025-08-22,0.88506098,,0.80090014,164,145.15,除權,exright
2026-08-04,0.90490956,,0.90490956,77.4,70.04,除權息,exright
