date,factor,cum_factor,pre_close,ref_price,kind
2015-08-13,0.96727273,0.70564554,30.25,29.26,息
2016-06-30,0.97267760,0.72952076,36.6,35.6,息
2017-07-11,0.96948118,0.75001292,49.15,47.65,息
2018-07-02,0.96518375,0.77362298,51.7,49.9,息
2019-06-28,0.95683453,0.80152922,41.7,39.9,息
2020-06-29,0.97627521,0.83768843,42.15,41.15,息
2021-04-08,0.98214286,0.85804538,67.2,66,息
2022-04-08,0.97649824,0.87364620,85.1,83.1,息
2023-04-07,0.97194951,0.89467259,71.3,69.3,息
2024-04-02,0.97878359,0.92049286,70.7,69.2,息
2025-04-10,0.95652174,0.94044574,46,44,息
2026-08-06,0.98319328,0.98319328,59.5,58.5,息
