date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-02,0.94880546,0.78588696,29.3,27.8,息,exright
2016-07-05,0.84667802,0.82829094,29.35,24.85,息,exright
2017-09-25,1.09395349,0.97828326,21.5,23.52,退還股款,reduce
2019-07-04,0.95859213,0.89426404,24.15,23.15,息,exright
2019-10-07,1.08568182,0.93289315,44,47.77,退還股款,reduce
2020-07-13,0.98402556,0.85926939,31.3,30.8,息,exright
2021-08-30,0.94880546,0.87321857,29.3,27.8,息,exright
2022-07-12,0.96370236,0.92033468,27.55,26.55,息,exright
2023-07-12,0.98188406,0.95499888,27.6,27.1,息,exright
2024-07-08,0.99107143,0.97261879,56,55.5,息,exright
2025-07-10,0.99090909,0.98138112,55,54.5,息,exright
2026-07-13,0.99038462,0.99038462,208,206,息,exright
