date,factor,cum_factor,pre_close,ref_price,kind,event
2015-08-24,0.89915966,0.41115252,29.75,26.75,除息,exright
2016-08-11,0.93127148,0.45726309,29.1,27.1,除息,exright
2017-08-08,0.91500664,0.49100944,37.65,34.45,除息,exright
2018-08-20,0.92651757,0.53661844,31.3,29,除息,exright
2019-07-30,0.92998478,0.57917784,32.85,30.55,除息,exright
2020-07-28,0.90537634,0.62278206,37.2,33.68,除息,exright
2021-07-19,0.93571429,0.68787092,42,39.3,除息,exright
2022-07-12,0.92258065,0.73512923,46.5,42.9,除息,exright
2023-07-12,0.93406593,0.79681840,45.5,42.5,除息,exright
2024-06-20,0.94808405,0.85306440,80.9,76.7,除息,exright
2025-07-01,0.92424242,0.89977718,52.8,48.8,除息,exright
2026-06-23,0.97352941,0.97352941,68,66.2,除息,exright
