date,factor,cum_factor,pre_close,ref_price,kind,event
2015-08-03,0.92006126,0.26922721,32.65,30.04,除權息,exright
2016-06-20,0.97796374,0.29261879,35.85,35.06,除權,exright
2016-08-09,0.91614654,0.29921231,36.85,33.76,除權息,exright
2017-08-10,0.88679868,0.32659875,30.3,26.87,除權息,exright
2018-08-09,0.90393013,0.36828962,34.35,31.05,除權息,exright
2019-07-11,0.87206612,0.40743151,30.25,26.38,除權息,exright
2020-07-09,0.92495379,0.46720254,27.05,25.02,除權息,exright
2021-09-23,0.88156863,0.50510907,25.5,22.48,除權息,exright
2022-07-11,0.89376947,0.57296624,32.1,28.69,除權息,exright
2023-05-26,0.98871681,0.64106715,45.2,44.69,除權,exright
2023-08-08,0.90348706,0.64838297,44.45,40.16,除權息,exright
2024-08-09,0.89554455,0.71764500,40.4,36.18,除權息,exright
2025-02-03,0.99281437,0.80135041,33.4,33.16,除權,exright
2025-07-11,0.89429348,0.80715029,36.8,32.91,除權息,exright
2026-07-17,0.90255639,0.90255639,33.25,30.01,除權息,exright
