date,factor,cum_factor,pre_close,ref_price,kind
2015-07-14,0.95270270,0.64938463,44.4,42.3,息
2016-07-13,0.94811933,0.68162359,38.55,36.55,息
2017-07-11,0.95646259,0.71892173,36.75,35.15,息
2018-07-10,0.94230769,0.75164647,39,36.75,息
2019-07-10,0.95202020,0.79766565,39.6,37.7,息
2020-07-10,0.95816993,0.83786630,38.25,36.65,息
2021-09-06,0.97707736,0.87444437,34.9,34.1,息
2022-07-12,0.97647059,0.89495919,34,33.2,息
2023-07-13,0.97748344,0.91652447,37.75,36.9,息
2024-07-10,0.97379913,0.93763682,34.35,33.45,息
2025-07-16,0.96955128,0.96286472,31.2,30.25,息
2026-07-21,0.99310345,0.99310345,29,28.8,息
