date,factor,cum_factor,pre_close,ref_price,kind,event
2015-06-29,0.92031873,0.61570834,25.1,23.1,除息,exright
2016-07-08,0.92292871,0.66901642,25.95,23.95,除息,exright
2017-07-10,0.92156863,0.72488418,25.5,23.5,除息,exright
2018-07-10,0.95988024,0.78657645,16.7,16.03,除息,exright
2019-07-10,0.96058394,0.81945269,13.7,13.16,除息,exright
2022-07-29,0.99259259,0.85307765,14.85,14.74,除息,exright
2023-08-11,0.96407186,0.85944390,16.7,16.1,除息,exright
2024-08-01,0.96899225,0.89147287,19.35,18.75,除息,exright
2025-07-21,0.96000000,0.92000000,15,14.4,除息,exright
2026-07-21,0.95833333,0.95833333,19.2,18.4,除息,exright
