date,factor,cum_factor,pre_close,ref_price,kind,event
2015-07-01,0.99534884,1.25383352,43,42.8,除息,exright
2015-08-28,1.15890909,1.25969256,27.5,31.87,現金減資,reduce
2016-07-11,0.99165303,1.08696408,61.1,60.59,除息,exright
2016-09-23,1.36474576,1.09611331,59,80.52,現金減資,reduce
2017-07-07,0.97187500,0.80316301,160,155.5,除息,exright
2018-07-03,0.96774194,0.82640567,217,210,除息,exright
2019-07-01,0.97487437,0.85395252,199,194,除息,exright
2020-07-01,0.97658863,0.87596161,299,292,除息,exright
2021-07-07,0.97340426,0.89696069,376,366,除息,exright
2022-07-07,0.95046440,0.92146781,161.5,153.5,除息,exright
2023-07-04,0.98475610,0.96949219,164,161.5,除息,exright
2025-06-13,0.98863636,0.98449981,88,87,除息,exright
2026-06-11,0.99581590,0.99581590,478,476,除息,exright
