coin,w0,days,cagr_gate,mdd_gate,cagr_c1,mdd_c1,cagr_bh,mdd_bh,pass_vs_c1,strict_cagr,strict_mdd,pass_vs_bh,expo_gate,expo_c1,trades_gate,sync_regime_own,blocked_share,sha_gate,sha_c1,identical_to_c1,L,exit,exit_why,placebo_status,plc_cagr_pctl_gate,plc_mdd_pctl_gate,plc_cagr_pctl_c1,be_cagr_vs_bh,be_mdd_vs_bh,ci_cagr_lo,ci_cagr_hi,ci_mdd_lo,ci_mdd_hi,ci_mdd2_lo,ci_mdd2_hi
BTC,2018-03-04,3121,0.2675985954447031,-0.6403817163862107,0.2675985954447031,-0.6403817163862107,0.25691738221494775,-0.7662925431645936,False,False,False,True,0.5209868631848766,0.5209868631848766,65,1.0,0.0,3ffcf75c3df1c76c,3ffcf75c3df1c76c,True,,陪測（與 C1 逐日相同）,閘門兩邊相同 ⇒ 配對差恆為 0,可得,81.8,77.5,81.8,0.004220777078560943,0.045518727115172256,,,,,,
ETH,2018-03-04,3121,0.38302995878425494,-0.6269577456355429,0.3224171248939738,-0.736553551727065,0.13886656422203858,-0.9014402711098559,True,True,True,True,0.45338032681832746,0.5056071771867992,59,0.8801666132649791,0.10329531051964512,9df085d10795edfa,67ac04b5ae0c69ec,False,11.0,出口①,CAGR CI 含 0 ⇒ 測不出；MDD CI 含 0 ⇒ 測不出,可得,95.39999999999999,96.3,91.10000000000001,0.057431970390012896,0.10400070609032375,-0.22551812399888263,0.33173316988338153,-0.30654704689208423,0.0927043091666794,-0.28782550367354215,0.09302863428494884
BNB,2018-05-24,3040,0.4239136281296987,-0.7021941884791605,0.45655614244167153,-0.7544697685532373,0.6304557097353083,-0.7606666563244961,False,False,True,False,0.4450657894736842,0.5598684210526316,99,0.7983552631578947,0.20505287896592245,290115b9dd5db7bb,8714e2e0d01fd184,False,22.0,判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,可得,77.2,65.60000000000001,81.3,,0.014811320821625729,-0.4093290813453455,0.25802159995609614,-0.24206372563494996,0.1065622010224499,-0.2373945946094112,0.10133243911326585
SOL,2021-02-26,2031,0.8262449017289013,-0.5546238215708511,0.8884240079069972,-0.6601455294444698,0.4589386056897631,-0.9626992725584274,False,False,True,True,0.4194977843426883,0.49729197439684886,57,0.8064992614475628,0.15643564356435644,9232210fdfff60a2,448a19db4234ef03,False,45.0,判定格未過,⛔ 判定格沒過 ⇒ 不進出口判斷,可得,92.80000000000001,97.7,94.5,0.04539345141298255,0.17055065048655405,-0.8081262664090714,0.2778655606519466,-0.21624629501406983,0.07334194767827057,-0.2246626167923823,0.06263809228097189
XRP,2018-11-19,2861,0.07758881883193247,-0.7843105669198088,-0.03284802426439515,-0.9134773908749424,0.14675903474140162,-0.8323958401465106,True,True,True,False,0.37259699405802166,0.4397063963649074,85,0.7403005941978329,0.15262321144674085,c2258422044540e4,cff387d86e5e9fa3,False,10.0,出口①,CAGR CI 含 0 ⇒ 測不出；MDD CI 含 0 ⇒ 測不出,可得,58.3,32.800000000000004,32.4,,0.01176743001807845,-0.034964129894707124,0.3100713686465696,-0.1724171493737499,0.02270615539077488,-0.17409926851812169,0.02669507038758183
DOGE,2020-01-20,2434,0.8084504839814124,-0.8370920162233302,0.6906680453258736,-0.8994896561983394,0.7186380116125153,-0.9233133281145807,True,True,True,True,0.3800328677074774,0.44042728019720623,66,0.7333607230895645,0.13712686567164178,aef9596c38e873bf,25a39320cc15b0cb,False,1.0,出口①,CAGR CI 含 0 ⇒ 測不出；MDD CI 含 0 ⇒ 測不出,可得,88.2,39.5,82.69999999999999,0.012206077339943836,0.04682850716904885,-0.496395450083077,0.7437690408189952,-0.1803742942131655,0.06659058609164557,-0.19501481250718067,0.07318065030692747
