control,ctl_quintile,tercile,n,mean_pp,lose20,win50
ret_120,1,1,3588,0.6746179845098669,0.2310479375696767,0.05629877369007804
ret_120,1,2,3627,2.893103876466278,0.1794871794871795,0.05955334987593052
ret_120,1,3,3659,4.081133090579825,0.12954359114512162,0.04755397649631047
ret_120,2,1,3602,4.586566820367481,0.17490283176013327,0.07523598001110494
ret_120,2,2,3643,6.702759966165117,0.12325006862475982,0.07082075212736755
ret_120,2,3,3676,7.489453621008386,0.0854189336235038,0.05359085963003264
ret_120,3,1,3606,5.645132270045813,0.17498613422074322,0.08319467554076539
ret_120,3,2,3638,9.414029743489147,0.1159978009895547,0.0948323254535459
ret_120,3,3,3675,9.678613542667705,0.08707482993197278,0.07891156462585033
ret_120,4,1,3602,7.993922953812853,0.19850083287062742,0.10299833425874515
ret_120,4,2,3643,11.840009826491391,0.14438649464726874,0.11556409552566566
ret_120,4,3,3676,11.265625204618471,0.13547334058759522,0.10718171926006528
ret_120,5,1,3619,9.352981162448499,0.27687206410610665,0.14396242055816524
ret_120,5,2,3653,14.172273602970254,0.23542294004927458,0.16397481522036683
ret_120,5,3,3693,12.545031908226006,0.2437043054427295,0.15190901705930138
dist_lo120,1,1,3588,1.1872926900258545,0.1931438127090301,0.05211817168338907
dist_lo120,1,2,3627,3.485733675325741,0.11910669975186104,0.0485249517507582
dist_lo120,1,3,3659,6.057036522238017,0.04454769062585406,0.028696365127083904
dist_lo120,2,1,3602,3.8022530365655927,0.20099944475291504,0.0702387562465297
dist_lo120,2,2,3643,6.584816605531853,0.13038704364534723,0.07246774636288773
dist_lo120,2,3,3676,8.61603037912349,0.0633841131664853,0.05957562568008705
dist_lo120,3,1,3606,4.080231773687023,0.20687742651136995,0.08097615085967831
dist_lo120,3,2,3638,9.265781870512763,0.14101154480483782,0.10032985156679494
dist_lo120,3,3,3675,9.937021707492494,0.09442176870748299,0.08272108843537415
dist_lo120,4,1,3602,7.119026552389984,0.22598556357579122,0.10605219322598557
dist_lo120,4,2,3643,11.684498801488623,0.1636014273950041,0.11803458687894593
dist_lo120,4,3,3676,11.486831598500132,0.16158868335146898,0.11942328618063112
dist_lo120,5,1,3620,9.127210822329104,0.2892265193370166,0.14337016574585634
dist_lo120,5,2,3653,13.222621243175034,0.24500410621407062,0.16287982480153299
dist_lo120,5,3,3694,12.618287790125471,0.25690308608554413,0.1597184623714131
