bucket,n,mean,median,p10,p90,lose20,win50,win,H
1,5407,-0.00573188039555014,-0.017582452605417687,-0.15307817657574496,0.15650804924011813,0.04697614203809876,0.004808581468466802,0.43166265951544297,20
2,5465,-0.0035110277070147192,-0.013122046765134177,-0.13546181289291329,0.13703167173736566,0.03147301006404392,0.0038426349496797803,0.4378774016468435,20
3,5456,-0.002370872528325466,-0.013199291611241226,-0.1317829600139072,0.13295105454336675,0.026942815249266863,0.004398826979472141,0.43603372434017595,20
4,5465,0.0012832090477683303,-0.010733395178259664,-0.13504290132162042,0.14122059251896818,0.034583714547118026,0.00878316559926807,0.44903934126258005,20
5,5480,0.0073494963645582235,-0.006674098700649056,-0.12291291684233725,0.13922228957618987,0.020072992700729927,0.009671532846715328,0.4636861313868613,20
6,5442,0.007637393889198495,-0.007941756260513522,-0.12457546294542686,0.14540840916343092,0.025358324145534728,0.007717750826901874,0.4527747151782433,20
7,5459,0.008242749123553132,-0.005208386578026025,-0.12091790077364485,0.14391292028727662,0.022531599193991572,0.007876900531232826,0.4676680710752885,20
8,5461,0.013029178483714213,-0.0029069895417962455,-0.12043797076562668,0.15196079064030665,0.02142464750045779,0.009522065555759018,0.48214612708295185,20
9,5459,0.010443910823584361,0.0,-0.12001847364761148,0.14298138013929856,0.025645722659827806,0.0093423703975087,0.49129877266898697,20
10,5508,0.010041351133236205,-0.007639717387304179,-0.14679822234380002,0.17746402583321527,0.04429920116194626,0.015068990559186637,0.4584241103848947,20
1,5407,0.0006897726346107015,-0.034706900466341506,-0.2396255876896318,0.26793511104844175,0.1498058072868504,0.029221379692990566,0.4172369151100425,60
2,5465,0.017585743385465886,-0.02069938122842918,-0.2148395327307745,0.26999837772480056,0.1161939615736505,0.03989021043000915,0.44300091491308324,60
3,5456,0.02132597043934795,-0.02047248319711298,-0.20457451048667813,0.28404537825776255,0.10392228739002933,0.03940615835777126,0.44281524926686217,60
4,5465,0.02906862821491385,-0.011695946305706362,-0.2016451212707704,0.28783187789872106,0.10118938700823422,0.042086001829826164,0.46660567246111617,60
5,5480,0.0399791840681905,-0.00809427024386472,-0.19159026620668732,0.3014592551620537,0.0906934306569343,0.04416058394160584,0.47226277372262776,60
6,5442,0.042938392029954184,-0.004186460773541012,-0.18836355717228592,0.30593410842586405,0.08581403895626608,0.04593899301727306,0.4865858140389563,60
7,5459,0.04717413103441157,-0.0010893267540611484,-0.18267886126325314,0.31423576264725467,0.08023447517860414,0.049459607986810775,0.4947792636013922,60
8,5461,0.050083465043961974,0.005590462924948136,-0.18182158671541315,0.30346827330585646,0.0763596410913752,0.04706097784288592,0.5129097234938655,60
9,5459,0.04841897115007273,0.009803924624484983,-0.17553143233518706,0.28709803115200005,0.07510533064663857,0.044513647188129696,0.5301337241252977,60
10,5508,0.050776317912465486,0.0017837871980060926,-0.2216750179922895,0.3389316471795553,0.12381989832970225,0.055737109658678285,0.5032679738562091,60
1,5407,0.01495809639926881,-0.047334567864052324,-0.3219253031093737,0.3755415308813475,0.24801183650823008,0.06953948585167376,0.4198261512853708,120
2,5465,0.04291508337541189,-0.029942274756596055,-0.29126139097385245,0.41424464112783954,0.20731930466605672,0.07703568161024703,0.44281793229643185,120
3,5456,0.06252519238548061,-0.01914791173119912,-0.27343033853326404,0.44998709062932996,0.1809017595307918,0.08706011730205279,0.4655425219941349,120
4,5465,0.06948595508436875,-0.013166800818452784,-0.2693880762216943,0.48459918649421946,0.17529734675205855,0.0958828911253431,0.47721866422689846,120
5,5480,0.09127209029563829,0.0,-0.25308817601586764,0.47871664065007463,0.1552919708029197,0.09580291970802919,0.49835766423357664,120
6,5442,0.09416777044698575,0.0067331082100048345,-0.25000001286974327,0.5083552428236777,0.1492098493201029,0.10235207644248438,0.511944138184491,120
7,5459,0.096716074982526,0.013698594956108812,-0.24765780359925532,0.5004979182960303,0.1472797215607254,0.10020150210661294,0.5255541307931856,120
8,5461,0.1062506607644396,0.022321408085993255,-0.23427152294218878,0.4890852600064619,0.1322102179088079,0.097784288591833,0.5460538362937191,120
9,5459,0.10679231112130208,0.03094988121480169,-0.22519531564603057,0.5002481527918966,0.12291628503388899,0.10020150210661294,0.5640227147829273,120
10,5508,0.10483287594608295,0.017540538502426983,-0.27940938313373287,0.5491442347264113,0.1710239651416122,0.11147421931735657,0.5323166303558461,120
