H,n_months,d10_d1_pp,lo_pp,hi_pp,pos_months,ci_ok,mono_exceptions,mono_ok,seg_a_pp,seg_b_pp,same_sign,verdict_detected
20,111,1.4566204775913179,0.30957615330894067,2.603664801873695,62,True,2,False,1.8584778615158277,1.1504434231726435,True,False
60,111,4.652070623032026,2.725897664937694,6.578243581126358,82,True,1,True,4.801330602726165,4.538348733741254,True,True
120,111,8.771812354698103,6.097337428893537,11.446287280502668,83,True,1,True,8.601963116246859,8.901221298280003,True,True
