k,m_full,m_A,delta,dC_full_med,dC_A_med
0.5,0.021302308705454957,0.018254522645703257,0.041837205613674974,0.06927768572969721,0.06637930094738431
1.0,0.04257381193439609,0.03629177074344571,0.06674487458445498,0.08950646821212162,0.08353237021680605
1.5,0.06358564209167833,0.05438593980248199,0.07990566988194803,0.10948830669502728,0.10073957020432095
2.0,0.08497799402072465,0.07175040323851298,0.0968881178793657,0.12983201392166935,0.11725283445231122
2.5,0.10564165609422746,0.09070810067962262,0.09500439517614655,0.14948275138372596,0.1352812329992488
