win,cost,S,C,T,tr_mean,tr_med,tr_p10,tr_p90,tr_prev_med,cagr_med,cagr_p10,cagr_p90,mdd_med,mdd_p10,mdd_p90,expo_med,slot_med,trades_med,seeds
主格窗,成本0,S0,C0,T0,-0.15684615854784523,-0.15684615854784523,-0.1568461585478459,-0.15684615854784456,-0.15684615854784523,-0.09304268144507966,-0.0930426814450801,-0.09304268144507932,-0.3356032233312795,-0.3356032233312804,-0.33560322333127884,0.9953271028037276,0.9953271028037384,670.0,200
主格窗,成本0,S0,C0,T1,-0.13535416990416196,-0.13534253927629009,-0.13664938870089377,-0.13398225622086052,-0.1260206801958506,-0.07987322158557669,-0.08066954932604342,-0.07904488055481848,-0.30854174776617793,-0.3095367779640942,-0.307485755057233,0.8385081362137994,0.62503563969692,11790.0,200
主格窗,成本0,S0,C1,T0,-0.1568788542722472,-0.16839354428033915,-0.348316950659668,0.036442216022892215,-0.16839354428033915,-0.10017391024863631,-0.21738372695676195,0.02070024402703867,-0.3634648196013638,-0.4289314259138562,-0.29736296012143204,0.9953271028037384,0.9953271028037384,8.0,200
主格窗,成本0,S0,C1,T1,-0.22008338850137796,-0.2530506879537065,-0.3899697469036144,-0.019135158384358024,-0.2454459179003935,-0.15380976603023438,-0.2464214228404414,-0.010999027363919006,-0.41582812722495077,-0.4761607848592956,-0.33440138100757494,0.9789719626168224,0.9122657580919932,144.0,200
主格窗,成本0,S1,C0,T0,0.5376252482956061,0.5376252482956061,0.5376252482956059,0.5376252482956061,0.5376252482956061,0.27925998422158727,0.27925998422158727,0.27925998422158727,-0.4878409800315904,-0.48784098003159054,-0.4878409800315904,0.9953271028037384,0.9953271028037384,4.0,200
主格窗,成本0,S1,C0,T1,-0.13205057770973125,-0.13205058970491473,-0.13205059152256515,-0.13205051520403807,-0.12673368408149221,-0.07786955212612823,-0.07786955323155659,-0.07786950681742416,-0.19195572839460723,-0.19195572839461003,-0.1919557283945738,0.3522807740635201,0.3989956188716359,2025.0,200
主格窗,成本0,S1,C1,T0,0.268812624147803,0.26881262414780305,0.2688126241478028,0.26881262414780327,0.26881262414780305,0.14600844011808922,0.14600844011808922,0.14600844011808944,-0.3659490511580166,-0.36594905115801674,-0.3659490511580165,0.605304612411243,0.4976635514018692,4.0,200
主格窗,成本0,S1,C1,T1,-0.2650335211247987,-0.28051235969666904,-0.38557740670948093,-0.12228459910763438,-0.26798590405088646,-0.17176061359180395,-0.24332078014634836,-0.07194444590145924,-0.3778551982484017,-0.45466392595099714,-0.3072655946405387,0.8743014704519525,0.8871002592912706,138.0,200
主格窗,成本0.585%,S0,C0,T0,-0.1626961585478453,-0.16269615854784525,-0.16269615854784591,-0.1626961585478447,-0.16269615854784525,-0.09665016241285096,-0.09665016241285129,-0.09665016241285063,-0.34021296470044415,-0.34021296470044493,-0.3402129647004434,0.9953271028037276,0.9953271028037384,670.0,200
主格窗,成本0.585%,S0,C0,T1,-0.1501721437288343,-0.1502279690674858,-0.15149109016277654,-0.1488985734907335,-0.14105413374743192,-0.08897436372216955,-0.08974977755220796,-0.08815879689313273,-0.31460206065682483,-0.3155476710141066,-0.3135961505820331,0.8399250302859664,0.624929611598583,11788.0,200
