錨點,前測,本線中位,差pp,過
"①-引擎 主格窗 (S1,C1,T1) 含成本【自己最深回落 ⓒ】",-0.409,-0.414324269354586,-0.532426935458602,True
"② 主格窗 (S0,C0a,T0) 成本0【窗期總報酬 ⓐ】",-0.1521,-0.15684615854784523,-0.4746158547845214,True
