seed,tr,win_mdd,peak_pos,trough_pos,深度,peak_date,trough_date
102000,-0.2700786588180192,-0.33603568798426364,860,936,-0.43659227328344374,2018-07-12,2018-10-30
102001,-0.2502768894852134,-0.3693403626630285,2318,2498,-0.3693403626630285,2024-07-05,2025-04-09
102002,-0.3315300766978414,-0.4177226366560117,2323,2498,-0.4177226366560117,2024-07-12,2025-04-09
102003,-0.3461236954837362,-0.49153882590816295,2284,2498,-0.491538825908163,2024-05-17,2025-04-09
102004,-0.3136784080871029,-0.4581959255260564,2326,2498,-0.45819592552605637,2024-07-17,2025-04-09
102005,-0.20896033993001983,-0.33102159412453774,1235,1270,-0.4206631808096971,2020-01-20,2020-03-19
102006,-0.373017845931936,-0.40812815356322574,860,923,-0.4163920295297884,2018-07-12,2018-10-11
102007,-0.31586855371538014,-0.3964017536053007,2264,2498,-0.3964017536053007,2024-04-18,2025-04-09
102008,-0.3697431613481431,-0.3872304446287883,860,1272,-0.41167677822724635,2018-07-12,2020-03-23
102009,-0.3153515911347561,-0.36123418287936643,641,1270,-0.38302038570313535,2017-08-21,2020-03-19
102010,-0.3129965870094745,-0.38378791618769725,2264,2498,-0.38378791618769725,2024-04-18,2025-04-09
102011,-0.29149022833415095,-0.4033304234672244,2326,2498,-0.4033304234672245,2024-07-17,2025-04-09
102012,-0.4117706655135652,-0.4283565623760502,2073,2498,-0.42835656237605013,2023-07-05,2025-04-09
102013,-0.3273012782415504,-0.4442229334849359,2326,2498,-0.4442229334849359,2024-07-17,2025-04-09
102014,-0.36182496239463957,-0.3918713191141248,1223,1270,-0.4048023902982829,2020-01-02,2020-03-19
102015,-0.2635362901822763,-0.38838651699164517,839,923,-0.4122538500300803,2018-06-12,2018-10-11
102016,-0.2122465531574339,-0.3069645067148984,839,1270,-0.418529301687802,2018-06-12,2020-03-19
102017,-0.3192959336496727,-0.43604007084048946,1695,2498,-0.47862617363383453,2021-12-08,2025-04-09
102018,-0.23421854484489468,-0.29372866739025816,1223,1270,-0.37714922457546884,2020-01-02,2020-03-19
102019,-0.3962580155869565,-0.3976170273924737,860,936,-0.42110623909632505,2018-07-12,2018-10-30
102020,-0.11482170749785192,-0.3994464711646521,2264,2498,-0.39944647116465204,2024-04-18,2025-04-09
102021,-0.39487447107757656,-0.42531122926217413,2264,2498,-0.42531122926217413,2024-04-18,2025-04-09
102022,-0.32288639946393294,-0.39611279300764346,2325,2498,-0.39611279300764346,2024-07-16,2025-04-09
102023,-0.007108813731193431,-0.3811284798948961,2326,2498,-0.38112847989489607,2024-07-17,2025-04-09
102024,-0.29919446584200504,-0.3377995253454398,852,923,-0.43027778416365337,2018-07-02,2018-10-11
102025,-0.41479133219837694,-0.4858404377041047,2326,2498,-0.4858404377041047,2024-07-17,2025-04-09
102026,-0.4895667243372217,-0.4895667243372217,1710,2498,-0.5394245666427169,2021-12-29,2025-04-09
102027,-0.0607397997644159,-0.3378571464062031,1235,1270,-0.4152550301613085,2020-01-20,2020-03-19
102028,-0.35856018595889805,-0.40719240145952,861,935,-0.4371924188874521,2018-07-13,2018-10-29
102029,-0.4702829220455398,-0.47028292204553973,2063,2498,-0.4744309363328785,2023-06-19,2025-04-09
102030,-0.18242412413166786,-0.38517692671595727,839,935,-0.4133649520451069,2018-06-12,2018-10-29
102031,-0.3038676390915812,-0.3632575308811506,852,935,-0.4008176046885915,2018-07-02,2018-10-29
102032,-0.34223162025235965,-0.3440745160184981,1601,2498,-0.39481779878831236,2021-07-26,2025-04-09
102033,-0.31790995582151194,-0.3632333925333045,861,936,-0.39602262727095994,2018-07-13,2018-10-30
102034,-0.30192973000018053,-0.38661201746226403,839,936,-0.45065883934517914,2018-06-12,2018-10-30
102035,-0.1892146428851884,-0.4018014695385396,2263,2498,-0.40180146953853957,2024-04-17,2025-04-09
102036,-0.33361874235740496,-0.4066713926537274,2385,2498,-0.4066713926537274,2024-10-16,2025-04-09
102037,-0.18495882197855096,-0.37444009237593917,1223,1270,-0.41661578944876887,2020-01-02,2020-03-19
102038,-0.26464253390786685,-0.44369677851777045,2326,2498,-0.44369677851777045,2024-07-17,2025-04-09
102039,-0.3663789838508612,-0.4649210112775922,2326,2498,-0.4649210112775922,2024-07-17,2025-04-09
102040,-0.20394254194704686,-0.2766725392683628,839,934,-0.3965062217851929,2018-06-12,2018-10-26
102041,-0.3778468220363681,-0.42586241964989574,2318,2498,-0.4258624196498958,2024-07-05,2025-04-09
102042,-0.3258813943570722,-0.40620333841821826,1223,1270,-0.4198568920520933,2020-01-02,2020-03-19
102043,-0.09337552430432738,-0.27658872234412457,830,934,-0.3935147647705408,2018-05-30,2018-10-26
102044,-0.34028695078146465,-0.4700157078896213,2326,2498,-0.4700157078896213,2024-07-17,2025-04-09
102045,-0.3281245984104133,-0.3684559309847264,839,1270,-0.4548876235651791,2018-06-12,2020-03-19
102046,-0.4221496462054569,-0.511906616004494,2326,2498,-0.511906616004494,2024-07-17,2025-04-09
102047,-0.3351098998511758,-0.47418419194982114,2326,2498,-0.4741841919498212,2024-07-17,2025-04-09
102048,-0.24473615573751706,-0.4331003296081385,2326,2498,-0.4331003296081385,2024-07-17,2025-04-09
102049,-0.21716264664926377,-0.34890224708598816,1223,1270,-0.38420873198309113,2020-01-02,2020-03-19
102050,-0.3569929112248149,-0.37852020028555267,839,934,-0.42853485391337376,2018-06-12,2018-10-26
102051,-0.10485890931567199,-0.3647597265380161,2264,2498,-0.364759726538016,2024-04-18,2025-04-09
102052,-0.38603874447023556,-0.45583104352072307,2326,2498,-0.455831043520723,2024-07-17,2025-04-09
102053,-0.27789167948611315,-0.37033294570247743,2264,2498,-0.37033294570247743,2024-04-18,2025-04-09
102054,-0.2540182635733621,-0.43887196855245325,2318,2498,-0.43887196855245325,2024-07-05,2025-04-09
102055,0.12033757962439862,-0.28555380901032607,860,935,-0.4285570296773673,2018-07-12,2018-10-29
102056,-0.33207248737673256,-0.3741984946598063,861,936,-0.4211492382877836,2018-07-13,2018-10-30
102057,-0.42873841833940174,-0.4434271358897485,2319,2498,-0.44342713588974847,2024-07-08,2025-04-09
102058,-0.05849232569977414,-0.2963915857007655,737,936,-0.3622460395778113,2018-01-05,2018-10-30
102059,-0.33756550919539174,-0.35435670856953877,1711,2498,-0.4037043843511403,2021-12-30,2025-04-09
102060,-0.3272964062345949,-0.4957249526013942,2326,2498,-0.49572495260139426,2024-07-17,2025-04-09
102061,-0.38864748284190853,-0.4259652962154679,2326,2498,-0.42596529621546786,2024-07-17,2025-04-09
102062,-0.21989873011573957,-0.38636143143899926,2318,2498,-0.38636143143899926,2024-07-05,2025-04-09
102063,-0.44895647135646366,-0.4907952898860008,2077,2498,-0.49079528988600074,2023-07-11,2025-04-09
102064,-0.2946947664275429,-0.3453531200737497,1211,1270,-0.35642414365767294,2019-12-16,2020-03-19
102065,-0.3320474927018964,-0.43160473020412177,2326,2498,-0.4316047302041217,2024-07-17,2025-04-09
102066,-0.3898458653820188,-0.4018745245518258,2073,2498,-0.4018745245518258,2023-07-05,2025-04-09
102067,-0.20363181074459547,-0.3618835142288441,836,935,-0.45445446556114777,2018-06-07,2018-10-29
102068,-0.10414254026896141,-0.3323050289786123,830,936,-0.36708322825059925,2018-05-30,2018-10-30
102069,-0.18355541559918076,-0.32983388678332504,839,934,-0.3820525600552077,2018-06-12,2018-10-26
102070,-0.2134942340635907,-0.3838088598751237,2318,2498,-0.3838088598751237,2024-07-05,2025-04-09
102071,-0.1394412553913884,-0.33074598749606404,860,936,-0.4237314206182744,2018-07-12,2018-10-30
102072,-0.2971620397056527,-0.42532719704102734,2326,2498,-0.4253271970410273,2024-07-17,2025-04-09
102073,-0.30866697857478065,-0.3597800787352763,839,936,-0.4010684572989355,2018-06-12,2018-10-30
102074,-0.27128039013163185,-0.3745184691616083,2326,2498,-0.37451846916160836,2024-07-17,2025-04-09
102075,-0.38600720643424236,-0.44782665544903294,2081,2498,-0.447826655449033,2023-07-17,2025-04-09
102076,-0.25137017175937115,-0.3154205741236788,860,1270,-0.4813343431604269,2018-07-12,2020-03-19
102077,-0.3094304640321799,-0.41166265631289234,2261,2498,-0.41166265631289234,2024-04-15,2025-04-09
102078,0.021893567102063916,-0.2785692017906294,736,923,-0.2997863391481208,2018-01-04,2018-10-11
102079,-0.31666161491903644,-0.3772540317024087,860,936,-0.4715729696466926,2018-07-12,2018-10-30
