factor,win,cost,arm,point_pp,n_pairs,n_months,diff_pp,lo_pp,hi_pp,pos_months,detectable,verdict
S,主格窗,成本0.585%,全部,25.745533008894967,800,22,1.1877802197938194,-0.6764589996909807,3.0520194392786193,11,False,測不出
C,主格窗,成本0.585%,全部,-9.929944511292268,800,22,-0.49609149067967256,-1.1077096224664673,0.11552664110712224,9,False,測不出
T,主格窗,成本0.585%,全部,-34.15264616565419,800,22,-1.6890999806896587,-3.679155809899728,0.30095584852041013,9,False,測不出
S,主格窗,成本0,全部,25.635515710732122,800,22,1.1806432089970285,-0.6849230089326397,3.0462094269266964,11,False,測不出
C,主格窗,成本0,全部,-10.07262786676261,800,22,-0.4963960345358773,-1.102322625376081,0.10953055630432643,8,False,測不出
T,主格窗,成本0,全部,-33.22217210193426,800,22,-1.6243276777796554,-3.6084863520866026,0.35983099652729217,9,False,測不出
S,全窗,成本0.585%,全部,473.3733100719451,800,114,0.9313488980401614,0.20797893760736447,1.6547188584729582,69,True,測得出
C,全窗,成本0.585%,全部,178.6442849624694,800,114,0.22317463325172116,0.04933638188597013,0.39701288461747214,67,True,測得出
T,全窗,成本0.585%,全部,-270.14750970129455,800,114,-0.7770181547545045,-1.7512119340314554,0.19717562452244655,54,False,測不出
S,全窗,成本0,全部,494.1954581884662,800,114,0.9249117176106608,0.2012126699296778,1.6486107652916435,69,True,測得出
C,全窗,成本0,全部,196.56601351577808,800,114,0.22618128866719123,0.05277717032586429,0.3995854070085182,67,True,測得出
T,全窗,成本0,全部,-221.9967413850709,800,114,-0.6972524745800535,-1.6711729279543495,0.27666797879424243,54,False,測不出
T,主格窗,成本0.585%,S0,-3.74378491137409,400,22,-0.23551077997597553,-0.6942149183413656,0.2231933583894145,9,False,測不出
T,主格窗,成本0,S0,-2.8495435494913153,400,22,-0.17720707054637264,-0.6079236768516875,0.25350953575894225,10,False,測不出
T,全窗,成本0.585%,S0,-318.77997255379825,400,114,-0.7179856215923114,-1.1821270855038473,-0.25384415768077556,40,True,測得出
T,全窗,成本0,S0,-291.45253531351847,400,114,-0.6323545108444936,-1.0949111103491618,-0.16979791133982547,41,True,測得出
