H,窗內t1判開訊號,進模擬（xpos≥0）,剔除（出場超出資料尾或碰壞根）,其中出場超出資料尾
30,2309,2287,22,14
40,2309,2258,51,41
50,2309,2252,57,46
60,2309,2222,87,74
70,2309,2197,112,97
80,2309,2156,153,136
90,2309,2103,206,188
